,name,url,ram,rom,price,createdDate,color,status,url_img
216,MACBOOK PRO,https://onewaymacbook.vn/macbook-pro-m2-2022-13inch-ram-m2-8gb-512gb-new.html,unknown,512,35090000,2022-12-06 21:12:25.702136,"
                                                            Bạc                                                        ",0,unknown
217,MACBOOK PRO,https://onewaymacbook.vn/macbook-pro-m2-2022-13inch-ram-m2-8gb-512gb-new.html,unknown,512,35090000,2022-12-06 21:12:25.702136,"
                                                            Xám                                                        ",0,unknown
218,MACBOOK PRO,https://onewaymacbook.vn/macbook-pro-m2-2022-13inch-ram-16gb-256gb-new-100.html,unknown,16,36290000,2022-12-06 21:12:25.702136,"
                                                            Bạc                                                        ",0,unknown
219,MACBOOK PRO,https://onewaymacbook.vn/macbook-pro-m2-2022-13inch-ram-16gb-256gb-new-100.html,unknown,16,36290000,2022-12-06 21:12:25.702136,"
                                                            Xám                                                        ",0,unknown
220,MACBOOK PRO,https://onewaymacbook.vn/macbook-pro-m2-2022-13inch-ram-16gb-512gb-new-100.html,unknown,16,41990000,2022-12-06 21:12:25.702136,"
                                                            Bạc                                                        ",0,unknown
221,MACBOOK PRO,https://onewaymacbook.vn/macbook-pro-m2-2022-13inch-ram-16gb-512gb-new-100.html,unknown,16,41990000,2022-12-06 21:12:25.702136,"
                                                            Xám                                                        ",0,unknown
222,MACBOOK PRO,https://onewaymacbook.vn/macbook-pro-m2-2022-13inch-ram-8gb-256gb-new.html,unknown,256,29690000,2022-12-06 21:12:25.702136,"
                                                            Bạc                                                        ",0,unknown
223,MACBOOK PRO,https://onewaymacbook.vn/macbook-pro-m2-2022-13inch-ram-8gb-256gb-new.html,unknown,256,29690000,2022-12-06 21:12:25.702136,"
                                                            Xám                                                        ",0,unknown
224,MACBOOK PRO,https://onewaymacbook.vn/macbook-pro-m2-2022-13inch-ram-m2-8gb-512gb-new.html,unknown,512,35090000,2022-12-06 21:12:25.702136,"
                                                            Bạc                                                        ",0,unknown
225,MACBOOK PRO,https://onewaymacbook.vn/macbook-pro-m2-2022-13inch-ram-m2-8gb-512gb-new.html,unknown,512,35090000,2022-12-06 21:12:25.702136,"
                                                            Xám                                                        ",0,unknown
226,MACBOOK PRO,https://onewaymacbook.vn/macbook-pro-m2-2022-13inch-ram-16gb-512gb-new-100.html,unknown,16,41990000,2022-12-06 21:12:25.702136,"
                                                            Bạc                                                        ",0,unknown
