,name,url,ram,rom,price,createdDate,color,status,url_img,store
49,IPHONE 12,https://onewaymobile.vn/iphone-12-series/dien-thoai-apple-iphone-12-256gb-vna-dp404.html,4,256,20690000,2022-12-26 19:48:41.443815,BLACK,0,unknown,onewaymobile
50,IPHONE 12,https://onewaymobile.vn/iphone-12-series/dien-thoai-apple-iphone-12-256gb-vna-dp404.html,4,256,20690000,2022-12-26 19:48:41.443815,WHITE,0,unknown,onewaymobile
51,IPHONE 12,https://onewaymobile.vn/iphone-12-series/dien-thoai-apple-iphone-12-256gb-vna-dp404.html,4,256,20690000,2022-12-26 19:48:41.443815,BLUE,0,unknown,onewaymobile
68,IPHONE 13,https://onewaymobile.vn/iphone-13-series/dien-thoai-apple-iphone-13-128gb-vna-dp537.html,4,128,18090000,2022-12-26 19:48:41.443815,RED,0,unknown,onewaymobile
69,IPHONE 13,https://onewaymobile.vn/iphone-13-series/dien-thoai-apple-iphone-13-128gb-vna-dp537.html,4,128,18590000,2022-12-26 19:48:41.443815,GREEN,0,unknown,onewaymobile
70,IPHONE 13,https://onewaymobile.vn/iphone-13-series/dien-thoai-apple-iphone-13-128gb-vna-dp537.html,4,128,18590000,2022-12-26 19:48:41.443815,BLACK,0,unknown,onewaymobile
71,IPHONE 13,https://onewaymobile.vn/iphone-13-series/dien-thoai-apple-iphone-13-128gb-vna-dp537.html,4,128,18690000,2022-12-26 19:48:41.443815,PINK,0,unknown,onewaymobile
72,IPHONE 13,https://onewaymobile.vn/iphone-13-series/dien-thoai-apple-iphone-13-128gb-vna-dp537.html,4,128,18690000,2022-12-26 19:48:41.443815,WHITE,0,unknown,onewaymobile
73,IPHONE 13,https://onewaymobile.vn/iphone-13-series/dien-thoai-apple-iphone-13-128gb-vna-dp537.html,4,128,18690000,2022-12-26 19:48:41.443815,BLUE,0,unknown,onewaymobile
74,IPHONE 13,https://onewaymobile.vn/iphone-13-series/dien-thoai-apple-iphone-13-256gb-vna-dp520.html,4,256,20990000,2022-12-26 19:48:41.443815,RED,0,unknown,onewaymobile
75,IPHONE 13,https://onewaymobile.vn/iphone-13-series/dien-thoai-apple-iphone-13-256gb-vna-dp520.html,4,256,21290000,2022-12-26 19:48:41.443815,BLACK,0,unknown,onewaymobile
76,IPHONE 13,https://onewaymobile.vn/iphone-13-series/dien-thoai-apple-iphone-13-256gb-vna-dp520.html,4,256,21290000,2022-12-26 19:48:41.443815,GREEN,0,unknown,onewaymobile
