,_id,name,url,ram,rom,price,createdDate,color,status,url_img,store,id
16,6406fb692b331ecaa4c51299,IPHONE 13 PRO MAX,https://24hstore.vn/iphone-13-pro-max-moi/iphone-13-pro-max-1tb-p5916,6.0,128.0,27490000,2023-01-10 20:58:07.383649,SILVER,0,unknown,24hstore,e26346f5f983e31c6382e264eeef06e24265d22a33fab5d1c7c2fcfa84e9
17,6406fb692b331ecaa4c5129a,IPHONE 13 PRO MAX,https://24hstore.vn/iphone-13-pro-max-moi/iphone-13-pro-max-1tb-p5916,6.0,256.0,28990000,2023-01-10 20:58:07.383649,SILVER,0,unknown,24hstore,68c97afc1225c634678f15cfa6242ec2f2ed7a6245825e9dd852d101ebd1b
18,6406fb692b331ecaa4c5129b,IPHONE 13 PRO MAX,https://24hstore.vn/iphone-13-pro-max-moi/iphone-13-pro-max-1tb-p5916,6.0,512.0,33990000,2023-01-10 20:58:07.383649,SILVER,0,unknown,24hstore,db01d29c5b91b77a4ae04b5074b2216f32211ae7ed445322728542ce9a5d3f
19,6406fb692b331ecaa4c5129c,IPHONE 13 PRO MAX,https://24hstore.vn/iphone-13-pro-max-moi/iphone-13-pro-max-1tb-p5916,6.0,1.0,38190000,2023-01-10 20:58:07.383649,SILVER,0,unknown,24hstore,c66c24457676c58114aa4c70bb045ea22895d5d21212e936f11c7ba76ccd74
20,6406fb692b331ecaa4c5129d,IPHONE 13 PRO MAX,https://24hstore.vn/iphone-13-pro-max-moi/iphone-13-pro-max-1tb-p5916,6.0,128.0,27490000,2023-01-10 20:58:07.383649,BLUE,0,unknown,24hstore,2fce2987c741a9d46277cf10d5b7276dc713ba2bc0d8b58346ccca22998bf7f2
21,6406fb692b331ecaa4c5129e,IPHONE 13 PRO MAX,https://24hstore.vn/iphone-13-pro-max-moi/iphone-13-pro-max-1tb-p5916,6.0,256.0,28990000,2023-01-10 20:58:07.383649,BLUE,0,unknown,24hstore,68ac7b1a2357b02cb4799712955f404f519c6f59cf9219b4d59a177449cc8ae7
22,6406fb692b331ecaa4c5129f,IPHONE 13 PRO MAX,https://24hstore.vn/iphone-13-pro-max-moi/iphone-13-pro-max-1tb-p5916,6.0,512.0,33990000,2023-01-10 20:58:07.383649,BLUE,0,unknown,24hstore,e651aa9fa65e3c1102aeb3df8943978866bbb328818618a9ac8f58e5e59c628
23,6406fb692b331ecaa4c512a0,IPHONE 13 PRO MAX,https://24hstore.vn/iphone-13-pro-max-moi/iphone-13-pro-max-1tb-p5916,6.0,1.0,38190000,2023-01-10 20:58:07.383649,BLUE,0,unknown,24hstore,da6c86060b79289741d01ec4237a9aa8379c4a7cba7a84d9de74ef97dd647
24,6406fb692b331ecaa4c512a1,IPHONE 13 PRO MAX,https://24hstore.vn/iphone-13-pro-max-moi/iphone-13-pro-max-1tb-p5916,6.0,128.0,27490000,2023-01-10 20:58:07.383649,GRAPHITE,0,unknown,24hstore,db54f1b4670748c70bca58064fdf1f343c36d246b5b73b360491bd9019c54f
25,6406fb692b331ecaa4c512a2,IPHONE 13 PRO MAX,https://24hstore.vn/iphone-13-pro-max-moi/iphone-13-pro-max-1tb-p5916,6.0,256.0,28990000,2023-01-10 20:58:07.383649,GRAPHITE,0,unknown,24hstore,9cbcd4f5a3a54fbc56491c490e49c5d6cb2aa393c2ca4888b6c8a36bc8ff0df
