,name,url,ram,rom,price,createdDate,color,status,url_img,store
171,MACBOOK AIR,https://onewaymacbook.vn/macbook-air-m2-2022-13inch-ram-8gb-512gb-new.html,8,512,33790000,2023-01-10 21:42:31.526365,YELLOW,0,unknown,onewaymobie
172,MACBOOK AIR,https://onewaymacbook.vn/macbook-air-m2-2022-13inch-16gb-256gb-new.html,16,16,32890000,2023-01-10 21:42:31.526365,BLACK,0,unknown,onewaymobie
173,MACBOOK AIR,https://onewaymacbook.vn/macbook-air-m2-2022-13inch-16gb-256gb-new.html,16,16,32890000,2023-01-10 21:42:31.526365,SILVER,0,unknown,onewaymobie
174,MACBOOK AIR,https://onewaymacbook.vn/macbook-air-m2-2022-13inch-16gb-256gb-new.html,16,16,32490000,2023-01-10 21:42:31.526365,YELLOW,0,unknown,onewaymobie
175,MACBOOK AIR,https://onewaymacbook.vn/macbook-air-m2-2022-13inch-16gb-256gb-new.html,16,16,32890000,2023-01-10 21:42:31.526365,GRAY,0,unknown,onewaymobie
208,MACBOOK PRO,https://onewaymacbook.vn/macbook-pro-m2-2022-13inch-ram-m2-8gb-512gb-new.html,8,512,34790000,2023-01-10 21:42:31.526365,SILVER,0,unknown,onewaymobie
209,MACBOOK PRO,https://onewaymacbook.vn/macbook-pro-m2-2022-13inch-ram-m2-8gb-512gb-new.html,8,512,34790000,2023-01-10 21:42:31.526365,GRAY,0,unknown,onewaymobie
210,MACBOOK PRO,https://onewaymacbook.vn/macbook-pro-m2-2022-13inch-ram-16gb-512gb-new-100.html,16,16,40490000,2023-01-10 21:42:31.526365,SILVER,0,unknown,onewaymobie
211,MACBOOK PRO,https://onewaymacbook.vn/macbook-pro-m2-2022-13inch-ram-16gb-512gb-new-100.html,16,16,40490000,2023-01-10 21:42:31.526365,GRAY,0,unknown,onewaymobie
212,MACBOOK PRO,https://onewaymacbook.vn/macbook-pro-m2-2022-13inch-ram-16gb-256gb-new-100.html,16,16,35490000,2023-01-10 21:42:31.526365,SILVER,0,unknown,onewaymobie
213,MACBOOK PRO,https://onewaymacbook.vn/macbook-pro-m2-2022-13inch-ram-16gb-256gb-new-100.html,16,16,35490000,2023-01-10 21:42:31.526365,GRAY,0,unknown,onewaymobie
214,MACBOOK PRO,https://onewaymacbook.vn/macbook-pro-m2-2022-13inch-ram-8gb-256gb-new.html,8,256,29490000,2023-01-10 21:42:31.526365,SILVER,0,unknown,onewaymobie
215,MACBOOK PRO,https://onewaymacbook.vn/macbook-pro-m2-2022-13inch-ram-8gb-256gb-new.html,8,256,30190000,2023-01-10 21:42:31.526365,GRAY,0,unknown,onewaymobie
